Name,Symbol,Y_start,Y_end,Elev,Lat,Lon
Five Cent,CFVC,2004,2022,2613,40.75111111111111,-122.9177777777778
Gasquet 2,CGA2,2014,2022,433,41.43805555555555,-123.94527777777778
Gasquet,CGAS,1993,2015,500,41.84583333333334,-123.97916666666669
Grasshopper,CGHP,1990,2022,6158,40.781666666666666,-120.78444444444445
Goat Mtn. Lookout (P),CGML,1999,1999,-9999,-9999.0,-9999.0
Gordon,CGOR,2002,2022,6200,40.75861111111111,-120.89611111111113
Grey Butte (Portable),CGRB,1999,2003,-9999,-9999.0,-9999.0
Greenville Portable #2,CGRN,-9999,-9999,-9999,-9999.0,-9999.0
Grizzly Flat,CGZF,2003,2010,3740,38.61972222222222,-120.56138888888889
Happy Camp Micro,CHAP,1995,1995,1465,41.79333333333333,-123.37666666666668
Hatcreek Micro #1,CHAT,1995,1995,-9999,-9999.0,-9999.0
Hawkeye,CHAW,1993,2022,2000,38.781666666666666,-122.91694444444444
Hayfork,CHAY,1997,2022,2323,40.55,-123.165
Humbolt Bay,CHBB,2007,2014,10,40.76694444444444,-124.21944444444443
Humbug Summit,CHBG,2012,2022,6688,40.10861111111111,-121.38333333333333
Hidden Valley,CHDV,2011,2022,4452,40.44194444444444,-120.62694444444443
Hell Hole,CHEL,1989,2022,5240,39.07166666666667,-120.42166666666668
High Glade Lookout,CHGL,1997,2022,4840,39.208333333333336,-122.80833333333334
Hopland,CHLD,2001,2022,2682,39.03083333333333,-123.08055555555556
Horse Lake,CHOL,1991,2022,5100,40.63055555555555,-120.50277777777778
Homewood,CHOM,2010,2022,7121,39.08361111111111,-120.17111111111112
Hoopa,CHOO,1997,2022,375,41.047777777777775,-123.6713888888889
Hat Mountain,CHTM,1995,1999,8000,40.501666666666665,-121.4225
Indian Well,CIND,1997,2022,4770,41.74166666666667,-121.53833333333333
Jarbo Gap,CJAR,2003,2022,2490,39.73583333333333,-121.4888888888889
Jordan Creek,CJOR,1995,2002,4400,39.78333333333333,-121.36666666666666
Juanita Lake,CJUA,1988,2022,5400,41.78611111111111,-122.00555555555556
Juniper Creek,CJUN,1988,2022,4372,41.33222222222223,-120.4725
Klamath Basin NWR,CKLB,2006,2008,4040,41.943888888888885,-121.56472222222222
Klamath,CKLM,2021,2022,-9999,-9999.0,-9999.0
Kneeland,CKNE,2004,2022,2737,40.72,-123.92694444444444
Knoxville Creek,CKNO,1985,2022,2200,38.86194444444445,-122.41722222222222
Konocti,CKON,1995,2022,2163,38.91194444444445,-122.7063888888889
Sugarloaf (ENF),CKYB,2004,2022,5653,38.78388888888889,-120.31083333333332
Lassen Lodge,CLAS,1990,2022,4159,40.344166666666666,-121.71361111111112
Laufman,CLAU,1998,2022,5800,40.141666666666666,-120.35333333333332
Laytonville,CLAY,2001,2022,1820,39.70222222222223,-123.485
Ladder Butte,CLDR,1988,2022,5750,40.80722222222222,-121.29666666666668
Lincoln,CLIN,1991,2022,200,38.8825,-121.26833333333332
Lower Klamath,CLKL,2002,2022,4098,41.99916666666667,-121.7002777777778
LN2 -Portable,CLN2,-9999,-9999,-9999,-9999.0,-9999.0
LN3 - Portable,CLN3,-9999,-9999,-9999,-9999.0,-9999.0
LNF4 - Portable,CLN4,1995,1995,-9999,-9999.0,-9999.0
LN5 - Portable,CLN5,-9999,-9999,-9999,-9999.0,-9999.0
LNF6 - Portable,CLN6,2010,2010,-9999,-9999.0,-9999.0
Lowden,CLOW,1999,2004,3120,40.68944444444444,-122.83138888888888
Lyons Valley,CLYO,1988,2022,3200,39.12583333333333,-123.0736111111111
Mad River,CMAD,1999,2022,2775,40.46333333333334,-123.52388888888888
Manzanita Lake,CMAN,1990,2022,5660,40.54,-121.58027777777778
Maple Creek,CMAP,1995,2006,1680,40.796388888888885,-123.93666666666668
McGuires,CMCG,1990,2022,593,39.35277777777778,-123.60111111111112
Mendocino Pass,CMEN,2000,2022,5420,39.8075,-122.945
Meyers,CMEY,1998,2013,6310,38.848888888888894,-120.01805555555556
Milford Micro,CMLF,1995,1996,5800,40.13333333333333,-120.35
Mule Mountain,CMLM,2007,2022,2044,40.56916666666667,-122.50305555555556
Modoc NWR,CMOD,2002,2015,4380,41.45888888888889,-120.3536111111111
Mohawk,CMOH,2013,2022,5122,39.77944444444445,-120.59472222222222
Markleeville,CMRK,1998,2022,5501,38.68333333333333,-119.76666666666668
Mt. Shasta,CMS2,1999,2022,3500,41.20055555555556,-122.195
Mt. Shasta,CMTS,-9999,-9999,3500,41.20055555555556,-122.195
Mount Zion,CMTZ,1990,2022,2960,38.38944444444444,-120.65111111111112
Novato Fire - Robinhood,CNVF,2016,2022,-9999,-9999.0,-9999.0
Oak Bottom,COAB,2001,2010,1326,40.65055555555556,-122.60555555555555
Oak Knoll,COAK,1988,2022,1940,41.83861111111111,-122.85
Oak Mountain,COAM,1991,2022,1700,41.006388888888885,-121.98333333333332
Oak Ridge,COAR,2016,2022,-9999,-9999.0,-9999.0
Oak Knoll - Portable,COKP,1995,1995,-9999,-9999.0,-9999.0
Openshaw,COPS,2014,2022,268,39.58972222222222,-121.6352777777778
Owens Camp Loc,COWE,1989,2022,5240,38.73333333333333,-120.245
Patty Mocus,CPAT,1990,2021,3500,40.295,-122.86666666666666
Pierce,CPIE,1986,2022,5700,40.24611111111111,-120.64222222222224
Pike County Lookout,CPIK,1985,2022,3714,39.475,-121.2025
Pilot Hill,CPIL,1993,2022,1200,38.8325,-121.00861111111112
Pinecrest 2,CPNC,2011,2022,5700,38.18611111111111,-120.01055555555556
Panther Springs,CPNT,2012,2022,4535,40.24194444444444,-121.77583333333334
Quartz Hill,CQUA,1990,2022,4225,41.59916666666667,-122.93361111111112
Quincy Rd,CQUI,1988,2022,3500,39.973333333333336,-120.94194444444445
Quincy - Portable,CQUP,1995,1995,-9999,-9999.0,-9999.0
Ravendale,CRAV,1999,2022,5298,40.73083333333334,-120.31638888888888
Reader Ranch,CRDR,2002,2022,1968,39.30361111111111,-121.1172222222222
Redding Airport,CREA,2001,2022,500,40.51583333333333,-122.29055555555556
Rice Canyon,CRIA,2012,2022,6950,39.525,-120.3286111111111
